Deg <3 Points,Deg 1 Points,All Points
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(340.39453125, 170.0), (220.39453125, 290.0), (100.39453125, 170.0), (220.39453125, 50.0), (128.00390625, 203.375)]","[(340.39453125, 170.0), (220.39453125, 290.0), (100.39453125, 170.0), (220.39453125, 50.0)]","[(340.39453125, 170.0), (220.39453125, 290.0), (100.39453125, 170.0), (220.39453125, 50.0), (128.00390625, 203.375)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(375.16796875, 170.0), (255.16796875, 290.0), (135.16796875, 170.0), (255.16796875, 50.0), (113.11328125, 218.75)]","[(375.16796875, 170.0), (255.16796875, 290.0), (135.16796875, 170.0), (255.16796875, 50.0)]","[(375.16796875, 170.0), (255.16796875, 290.0), (135.16796875, 170.0), (255.16796875, 50.0), (113.11328125, 218.75)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(367.7412109375, 170.0), (247.7412109375, 290.0), (127.7412109375, 170.0), (247.7412109375, 50.0), (176.9130859375, 325.671875)]","[(367.7412109375, 170.0), (247.7412109375, 290.0), (127.7412109375, 170.0), (247.7412109375, 50.0)]","[(367.7412109375, 170.0), (247.7412109375, 290.0), (127.7412109375, 170.0), (247.7412109375, 50.0), (176.9130859375, 325.671875)]"
"[(393.3783780142119, 170.5499647771133), (273.3783780142119, 290.5499647771133), (153.37837801421188, 170.5499647771133), (273.3783780142119, 50.5499647771133), (238.9623299780289, 224.10402726385672)]","[(393.3783780142119, 170.5499647771133), (273.3783780142119, 290.5499647771133), (153.37837801421188, 170.5499647771133)]","[(393.3783780142119, 170.5499647771133), (273.3783780142119, 290.5499647771133), (153.37837801421188, 170.5499647771133), (273.3783780142119, 50.5499647771133), (238.9623299780289, 224.10402726385672)]"
"[(350.0, 170.0), (230.0, 290.0), (110.0, 170.0), (230.0, 50.0), (66.1875, 253.125)]","[(350.0, 170.0), (230.0, 290.0), (110.0, 170.0), (230.0, 50.0)]","[(350.0, 170.0), (230.0, 290.0), (110.0, 170.0), (230.0, 50.0), (66.1875, 253.125)]"
"[(360.07018117255967, 170.47687682015663), (240.07018117255967, 290.47687682015663), (120.07018117255966, 170.47687682015663), (240.07018117255967, 50.47687682015663), (157.07018117255967, 230.47687682015663)]","[(360.07018117255967, 170.47687682015663), (240.07018117255967, 290.47687682015663), (120.07018117255966, 170.47687682015663)]","[(360.07018117255967, 170.47687682015663), (240.07018117255967, 290.47687682015663), (120.07018117255966, 170.47687682015663), (240.07018117255967, 50.47687682015663), (157.07018117255967, 230.47687682015663)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(339.1435546875, 170.0), (219.1435546875, 290.0), (99.1435546875, 170.0), (219.1435546875, 50.0), (72.7529296875, 252.0)]","[(339.1435546875, 170.0), (219.1435546875, 290.0), (99.1435546875, 170.0), (219.1435546875, 50.0)]","[(339.1435546875, 170.0), (219.1435546875, 290.0), (99.1435546875, 170.0), (219.1435546875, 50.0), (72.7529296875, 252.0)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(370.22265625, 170.0), (250.22265625, 290.0), (130.22265625, 170.0), (250.22265625, 50.0), (96.41015625, 231.1328125)]","[(370.22265625, 170.0), (250.22265625, 290.0), (130.22265625, 170.0), (250.22265625, 50.0)]","[(370.22265625, 170.0), (250.22265625, 290.0), (130.22265625, 170.0), (250.22265625, 50.0), (96.41015625, 231.1328125)]"
"[(370.22265625, 170.0), (250.22265625, 290.0), (130.22265625, 170.0), (250.22265625, 50.0), (96.41015625, 231.1328125)]","[(370.22265625, 170.0), (250.22265625, 290.0), (130.22265625, 170.0), (250.22265625, 50.0)]","[(370.22265625, 170.0), (250.22265625, 290.0), (130.22265625, 170.0), (250.22265625, 50.0), (96.41015625, 231.1328125)]"
"[(478.0, 225.0), (318.0, 385.0), (158.0, 225.0), (317.99999999999994, 65.0), (400.0, 274.0)]","[(478.0, 225.0), (318.0, 385.0), (158.0, 225.0)]","[(478.0, 225.0), (318.0, 385.0), (158.0, 225.0), (317.99999999999994, 65.0), (400.0, 274.0)]"
"[(501.32558540580453, 210.26302951750176), (341.32558540580453, 370.26302951750176), (181.3255854058045, 210.26302951750176), (341.3255854058044, 50.263029517501764), (482.13808540580453, 366.96615451750176), (278.79433540580453, 369.23177951750176)]","[(341.32558540580453, 370.26302951750176), (181.3255854058045, 210.26302951750176)]","[(501.32558540580453, 210.26302951750176), (341.32558540580453, 370.26302951750176), (181.3255854058045, 210.26302951750176), (341.3255854058044, 50.263029517501764), (199.3255854058045, 285.26302951750176), (482.13808540580453, 366.96615451750176), (278.79433540580453, 369.23177951750176)]"
"[(259.791015625, 568.3046875), (81.525390625, 219.171875), (307.626953125, 271.828125)]",[],"[(388.462890625, 292.75), (228.462890625, 452.75), (68.462890625, 292.75), (228.46289062499994, 132.75), (309.681640625, 371.671875), (416.705078125, 368.359375), (291.962890625, 74.546875), (267.384765625, 147.6484375), (148.486328125, 311.71875), (259.791015625, 568.3046875), (141.642578125, 177.03125), (81.525390625, 219.171875), (307.626953125, 271.828125)]"
"[(475.1572265625, 237.78125), (395.1572265625, 376.3453146055101), (235.1572265625, 376.3453146055102), (155.1572265625, 237.78125), (235.15722656249994, 99.21718539448983), (395.1572265625, 99.21718539448983), (368.7041015625, 225.609375), (301.7041015625, 368.96875)]",[],"[(475.1572265625, 237.78125), (395.1572265625, 376.3453146055101), (235.1572265625, 376.3453146055102), (155.1572265625, 237.78125), (235.15722656249994, 99.21718539448983), (395.1572265625, 99.21718539448983), (207.8447265625, 469.640625), (258.1025390625, 235.5546875), (161.8994140625, 151.875), (397.04169569468263, 305.9169578541612), (473.2431640625, 175.09375), (368.7041015625, 225.609375), (124.2822265625, 313.671875), (223.0869140625, 429.8046875), (138.4541015625, 277.5546875), (301.7041015625, 368.96875)]"
"[(362.537109375, 345.5640646055101), (152.505859375, 119.09375), (250.271484375, 87.2890625), (465.318359375, 299.515625), (212.693359375, 392.0), (173.255859375, 266.46875)]",[],"[(442.537109375, 207.0), (362.537109375, 345.5640646055101), (202.537109375, 345.5640646055102), (122.537109375, 207.0), (202.53710937499994, 68.43593539448983), (362.537109375, 68.43593539448983), (84.271484375, 399.21875), (219.865234375, 205.578125), (549.537109375, 191.0), (592.662109375, 110.734375), (152.505859375, 119.09375), (352.396484375, 201.9765625), (655.896484375, 233.65625), (250.271484375, 87.2890625), (465.318359375, 299.515625), (123.677734375, 359.0625), (212.693359375, 392.0), (173.255859375, 266.46875)]"
