Deg <3 Points,Deg 1 Points,All Points
"[(398.82030596735325, 83.71246650165938), (299.59374346735325, 119.75152900165938), (203.54533946569387, 29.6875)]",[],"[(398.82030596735325, 83.71246650165938), (78.82030596735325, 83.71246650165938), (149.43800756488253, 154.33016809918865), (299.59374346735325, 119.75152900165938), (203.54533946569387, 29.6875)]"
"[(398.82030596735325, 83.71246650165938), (299.59374346735325, 119.75152900165938), (203.54533946569387, 29.6875)]",[],"[(398.82030596735325, 83.71246650165938), (78.82030596735325, 83.71246650165938), (149.43800756488253, 154.33016809918865), (299.59374346735325, 119.75152900165938), (203.54533946569387, 29.6875)]"
"[(398.82030596735325, 83.71246650165938), (198.36718096735325, 71.74371650165938)]",[],"[(398.82030596735325, 83.71246650165938), (78.82030596735325, 83.71246650165938), (149.43800756488253, 154.33016809918865), (299.59374346735325, 119.75152900165938), (203.54533946569387, 29.6875), (198.36718096735325, 71.74371650165938)]"
"[(398.82030596735325, 83.71246650165938), (198.36718096735325, 71.74371650165938)]",[],"[(398.82030596735325, 83.71246650165938), (78.82030596735325, 83.71246650165938), (149.43800756488253, 154.33016809918865), (299.59374346735325, 119.75152900165938), (203.54533946569387, 29.6875), (198.36718096735325, 71.74371650165938)]"
"[(314.21874999999994, 67.578125)]",[],"[(398.82030596735325, 83.71246650165938), (78.82030596735325, 83.71246650165938), (149.43800756488253, 154.33016809918865), (299.59374346735325, 119.75152900165938), (203.54533946569387, 29.6875), (198.36718096735325, 71.74371650165938), (314.21874999999994, 67.578125)]"
"[(314.21874999999994, 67.578125)]",[],"[(398.82030596735325, 83.71246650165938), (78.82030596735325, 83.71246650165938), (149.43800756488253, 154.33016809918865), (299.59374346735325, 119.75152900165938), (203.54533946569387, 29.6875), (198.36718096735325, 71.74371650165938), (314.21874999999994, 67.578125)]"
"[(20.0, 20.0)]","[(20.0, 20.0)]","[(20.0, 20.0)]"
"[(20.0, 20.0)]","[(20.0, 20.0)]","[(20.0, 20.0)]"
"[(23.712466501659378, 23.712466501659378), (94.33016809918865, 94.33016809918865)]",[],"[(23.712466501659378, 23.712466501659378), (94.33016809918865, 94.33016809918865)]"
"[(23.712466501659378, 23.712466501659378), (94.33016809918865, 94.33016809918865)]",[],"[(23.712466501659378, 23.712466501659378), (94.33016809918865, 94.33016809918865)]"
"[(57.77496650165938, 55.25934150165938)]",[],"[(23.712466501659378, 23.712466501659378), (94.33016809918865, 94.33016809918865), (57.77496650165938, 55.25934150165938)]"
"[(57.77496650165938, 55.25934150165938)]",[],"[(23.712466501659378, 23.712466501659378), (94.33016809918865, 94.33016809918865), (57.77496650165938, 55.25934150165938)]"
"[(340.0, 180.0), (180.0, 340.0), (20.0, 180.0), (179.99999999999994, 20.0)]","[(340.0, 180.0), (180.0, 340.0), (20.0, 180.0), (179.99999999999994, 20.0)]","[(340.0, 180.0), (180.0, 340.0), (20.0, 180.0), (179.99999999999994, 20.0)]"
"[(340.0, 180.0), (180.0, 340.0), (20.0, 180.0), (179.99999999999994, 20.0)]","[(340.0, 180.0), (180.0, 340.0), (20.0, 180.0), (179.99999999999994, 20.0)]","[(340.0, 180.0), (180.0, 340.0), (20.0, 180.0), (179.99999999999994, 20.0)]"
"[(380.625, 180.0), (220.625, 340.0), (60.625, 180.0), (220.62499999999994, 20.0), (69.6875, 274.53125)]","[(380.625, 180.0), (220.625, 340.0), (60.625, 180.0), (220.62499999999994, 20.0)]","[(380.625, 180.0), (220.625, 340.0), (60.625, 180.0), (220.62499999999994, 20.0), (69.6875, 274.53125)]"
"[(380.625, 180.0), (220.625, 340.0), (60.625, 180.0), (220.62499999999994, 20.0), (69.6875, 274.53125)]","[(380.625, 180.0), (220.625, 340.0), (60.625, 180.0), (220.62499999999994, 20.0)]","[(380.625, 180.0), (220.625, 340.0), (60.625, 180.0), (220.62499999999994, 20.0), (69.6875, 274.53125)]"
"[(380.625, 180.0), (220.625, 340.0), (220.62499999999994, 20.0), (69.6875, 274.53125), (148.73432989780383, 158.41620681488735)]","[(380.625, 180.0), (220.625, 340.0), (220.62499999999994, 20.0)]","[(380.625, 180.0), (220.625, 340.0), (60.625, 180.0), (220.62499999999994, 20.0), (69.6875, 274.53125), (148.73432989780383, 158.41620681488735)]"
"[(380.625, 180.0), (220.625, 340.0), (220.62499999999994, 20.0), (69.6875, 274.53125), (148.73432989780383, 158.41620681488735)]","[(380.625, 180.0), (220.625, 340.0), (220.62499999999994, 20.0)]","[(380.625, 180.0), (220.625, 340.0), (60.625, 180.0), (220.62499999999994, 20.0), (69.6875, 274.53125), (148.73432989780383, 158.41620681488735)]"
"[(380.625, 180.0), (220.625, 340.0), (220.62499999999994, 20.0), (69.6875, 274.53125), (277.5, 255.234375)]","[(380.625, 180.0), (220.62499999999994, 20.0)]","[(380.625, 180.0), (220.625, 340.0), (60.625, 180.0), (220.62499999999994, 20.0), (69.6875, 274.53125), (148.73432989780383, 158.41620681488735), (277.5, 255.234375)]"
"[(380.625, 180.0), (220.625, 340.0), (220.62499999999994, 20.0), (69.6875, 274.53125), (277.5, 255.234375)]","[(380.625, 180.0), (220.62499999999994, 20.0)]","[(380.625, 180.0), (220.625, 340.0), (60.625, 180.0), (220.62499999999994, 20.0), (69.6875, 274.53125), (148.73432989780383, 158.41620681488735), (277.5, 255.234375)]"
"[(380.625, 180.0), (220.625, 340.0), (220.62499999999994, 20.0), (172.75, 264.484375)]","[(380.625, 180.0), (220.62499999999994, 20.0)]","[(380.625, 180.0), (220.625, 340.0), (60.625, 180.0), (220.62499999999994, 20.0), (69.6875, 274.53125), (148.73432989780383, 158.41620681488735), (277.5, 255.234375), (172.75, 264.484375)]"
"[(380.625, 180.0), (220.625, 340.0), (220.62499999999994, 20.0), (172.75, 264.484375)]","[(380.625, 180.0), (220.62499999999994, 20.0)]","[(380.625, 180.0), (220.625, 340.0), (60.625, 180.0), (220.62499999999994, 20.0), (69.6875, 274.53125), (148.73432989780383, 158.41620681488735), (277.5, 255.234375), (172.75, 264.484375)]"
"[(380.625, 180.0), (220.62499999999994, 20.0), (172.75, 264.484375), (384.53125, 316.40625)]","[(380.625, 180.0), (220.62499999999994, 20.0)]","[(380.625, 180.0), (220.625, 340.0), (60.625, 180.0), (220.62499999999994, 20.0), (69.6875, 274.53125), (148.73432989780383, 158.41620681488735), (277.5, 255.234375), (172.75, 264.484375), (384.53125, 316.40625)]"
"[(380.625, 180.0), (220.62499999999994, 20.0), (172.75, 264.484375), (384.53125, 316.40625)]","[(380.625, 180.0), (220.62499999999994, 20.0)]","[(380.625, 180.0), (220.625, 340.0), (60.625, 180.0), (220.62499999999994, 20.0), (69.6875, 274.53125), (148.73432989780383, 158.41620681488735), (277.5, 255.234375), (172.75, 264.484375), (384.53125, 316.40625)]"
"[(380.625, 180.0), (220.62499999999994, 20.0), (172.75, 264.484375), (335.625, 229.578125)]","[(220.62499999999994, 20.0)]","[(380.625, 180.0), (220.625, 340.0), (60.625, 180.0), (220.62499999999994, 20.0), (69.6875, 274.53125), (148.73432989780383, 158.41620681488735), (277.5, 255.234375), (172.75, 264.484375), (384.53125, 316.40625), (335.625, 229.578125)]"
"[(380.625, 180.0), (220.62499999999994, 20.0), (172.75, 264.484375), (335.625, 229.578125)]","[(220.62499999999994, 20.0)]","[(380.625, 180.0), (220.625, 340.0), (60.625, 180.0), (220.62499999999994, 20.0), (69.6875, 274.53125), (148.73432989780383, 158.41620681488735), (277.5, 255.234375), (172.75, 264.484375), (384.53125, 316.40625), (335.625, 229.578125)]"
"[(380.625, 183.71246650165938), (220.62499999999994, 23.712466501659378), (172.75, 268.1968415016594), (335.625, 233.29059150165938), (290.6177015975293, 94.33016809918865)]",[],"[(380.625, 183.71246650165938), (220.625, 343.7124665016594), (60.625, 183.71246650165938), (220.62499999999994, 23.712466501659378), (69.6875, 278.2437165016594), (148.73432989780383, 162.12867331654672), (277.5, 258.9468415016594), (172.75, 268.1968415016594), (384.53125, 320.1187165016594), (335.625, 233.29059150165938), (290.6177015975293, 94.33016809918865)]"
"[(380.625, 183.71246650165938), (220.62499999999994, 23.712466501659378), (172.75, 268.1968415016594), (335.625, 233.29059150165938), (290.6177015975293, 94.33016809918865)]",[],"[(380.625, 183.71246650165938), (220.625, 343.7124665016594), (60.625, 183.71246650165938), (220.62499999999994, 23.712466501659378), (69.6875, 278.2437165016594), (148.73432989780383, 162.12867331654672), (277.5, 258.9468415016594), (172.75, 268.1968415016594), (384.53125, 320.1187165016594), (335.625, 233.29059150165938), (290.6177015975293, 94.33016809918865)]"
"[(220.62499999999994, 23.712466501659378), (172.75, 268.1968415016594), (335.625, 233.29059150165938), (342.5703125, 132.89215400165938)]",[],"[(380.625, 183.71246650165938), (220.625, 343.7124665016594), (60.625, 183.71246650165938), (220.62499999999994, 23.712466501659378), (69.6875, 278.2437165016594), (148.73432989780383, 162.12867331654672), (277.5, 258.9468415016594), (172.75, 268.1968415016594), (384.53125, 320.1187165016594), (335.625, 233.29059150165938), (290.6177015975293, 94.33016809918865), (342.5703125, 132.89215400165938)]"
"[(220.62499999999994, 23.712466501659378), (172.75, 268.1968415016594), (335.625, 233.29059150165938), (342.5703125, 132.89215400165938)]",[],"[(380.625, 183.71246650165938), (220.625, 343.7124665016594), (60.625, 183.71246650165938), (220.62499999999994, 23.712466501659378), (69.6875, 278.2437165016594), (148.73432989780383, 162.12867331654672), (277.5, 258.9468415016594), (172.75, 268.1968415016594), (384.53125, 320.1187165016594), (335.625, 233.29059150165938), (290.6177015975293, 94.33016809918865), (342.5703125, 132.89215400165938)]"
"[(220.62499999999994, 23.712466501659378), (172.75, 268.1968415016594), (324.82867431640625, 217.48848039494612)]",[],"[(380.625, 183.71246650165938), (220.625, 343.7124665016594), (60.625, 183.71246650165938), (220.62499999999994, 23.712466501659378), (69.6875, 278.2437165016594), (148.73432989780383, 162.12867331654672), (277.5, 258.9468415016594), (172.75, 268.1968415016594), (384.53125, 320.1187165016594), (335.625, 233.29059150165938), (290.6177015975293, 94.33016809918865), (342.5703125, 132.89215400165938), (324.82867431640625, 217.48848039494612)]"
"[(220.62499999999994, 23.712466501659378), (172.75, 268.1968415016594), (324.82867431640625, 217.48848039494612)]",[],"[(380.625, 183.71246650165938), (220.625, 343.7124665016594), (60.625, 183.71246650165938), (220.62499999999994, 23.712466501659378), (69.6875, 278.2437165016594), (148.73432989780383, 162.12867331654672), (277.5, 258.9468415016594), (172.75, 268.1968415016594), (384.53125, 320.1187165016594), (335.625, 233.29059150165938), (290.6177015975293, 94.33016809918865), (342.5703125, 132.89215400165938), (324.82867431640625, 217.48848039494612)]"
"[(172.75, 278.484375), (179.921875, 120.65625)]",[],"[(380.625, 194.0), (220.625, 354.0), (60.625, 194.0), (220.62499999999994, 34.0), (69.6875, 288.53125), (148.73432989780383, 172.41620681488735), (277.5, 269.234375), (172.75, 278.484375), (384.53125, 330.40625), (335.625, 243.578125), (290.6177015975293, 104.61770159752928), (342.5703125, 143.1796875), (324.82867431640625, 227.77601389328674), (179.921875, 120.65625)]"
"[(172.75, 278.484375), (179.921875, 120.65625)]",[],"[(380.625, 194.0), (220.625, 354.0), (60.625, 194.0), (220.62499999999994, 34.0), (69.6875, 288.53125), (148.73432989780383, 172.41620681488735), (277.5, 269.234375), (172.75, 278.484375), (384.53125, 330.40625), (335.625, 243.578125), (290.6177015975293, 104.61770159752928), (342.5703125, 143.1796875), (324.82867431640625, 227.77601389328674), (179.921875, 120.65625)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0), (158.82812500000006, 169.0625)]","[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0)]","[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0), (158.82812500000006, 169.0625)]"
"[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0), (158.82812500000006, 169.0625)]","[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0)]","[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0), (158.82812500000006, 169.0625)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(263.71246650165943, 162.27653110716955), (23.712466501659435, 300.8405957126798), (23.712466501659378, 23.712466501659378), (94.33016809918871, 94.33016809918871)]","[(263.71246650165943, 162.27653110716955), (23.712466501659435, 300.8405957126798)]","[(263.71246650165943, 162.27653110716955), (23.712466501659435, 300.8405957126798), (23.712466501659378, 23.712466501659378), (94.33016809918871, 94.33016809918871)]"
"[(263.71246650165943, 162.27653110716955), (23.712466501659435, 300.8405957126798), (23.712466501659378, 23.712466501659378), (94.33016809918871, 94.33016809918871)]","[(263.71246650165943, 162.27653110716955), (23.712466501659435, 300.8405957126798)]","[(263.71246650165943, 162.27653110716955), (23.712466501659435, 300.8405957126798), (23.712466501659378, 23.712466501659378), (94.33016809918871, 94.33016809918871)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(263.71246650165943, 158.56406460551017), (23.712466501659435, 297.1281292110204), (23.712466501659378, 20.0), (94.33016809918871, 367.61770159752933)]","[(263.71246650165943, 158.56406460551017), (23.712466501659378, 20.0)]","[(263.71246650165943, 158.56406460551017), (23.712466501659435, 297.1281292110204), (23.712466501659378, 20.0), (94.33016809918871, 367.61770159752933)]"
"[(263.71246650165943, 158.56406460551017), (23.712466501659435, 297.1281292110204), (23.712466501659378, 20.0), (94.33016809918871, 367.61770159752933)]","[(263.71246650165943, 158.56406460551017), (23.712466501659378, 20.0)]","[(263.71246650165943, 158.56406460551017), (23.712466501659435, 297.1281292110204), (23.712466501659378, 20.0), (94.33016809918871, 367.61770159752933)]"
"[(319.0, 158.56406460551017), (78.99999999999994, 20.0), (149.61770159752928, 367.61770159752933), (21.546875, 128.32968960551017)]","[(319.0, 158.56406460551017), (78.99999999999994, 20.0)]","[(319.0, 158.56406460551017), (79.0, 297.1281292110204), (78.99999999999994, 20.0), (149.61770159752928, 367.61770159752933), (21.546875, 128.32968960551017)]"
"[(319.0, 158.56406460551017), (78.99999999999994, 20.0), (149.61770159752928, 367.61770159752933), (21.546875, 128.32968960551017)]","[(319.0, 158.56406460551017), (78.99999999999994, 20.0)]","[(319.0, 158.56406460551017), (79.0, 297.1281292110204), (78.99999999999994, 20.0), (149.61770159752928, 367.61770159752933), (21.546875, 128.32968960551017)]"
"[(364.8171844482422, 158.56406460551017), (124.81718444824213, 20.0), (64.56718444824219, 404.21875000000006)]","[(364.8171844482422, 158.56406460551017), (124.81718444824213, 20.0)]","[(364.8171844482422, 158.56406460551017), (124.81718444824219, 297.1281292110204), (124.81718444824213, 20.0), (195.43488604577146, 367.61770159752933), (67.36405944824219, 128.32968960551017), (64.56718444824219, 404.21875000000006)]"
"[(364.8171844482422, 158.56406460551017), (124.81718444824213, 20.0), (64.56718444824219, 404.21875000000006)]","[(364.8171844482422, 158.56406460551017), (124.81718444824213, 20.0)]","[(364.8171844482422, 158.56406460551017), (124.81718444824219, 297.1281292110204), (124.81718444824213, 20.0), (195.43488604577146, 367.61770159752933), (67.36405944824219, 128.32968960551017), (64.56718444824219, 404.21875000000006)]"
"[(364.8171844482422, 159.0), (124.81718444824213, 20.43593539448983), (64.56718444824219, 404.6546853944899), (252.4578094482422, 63.609375)]","[(364.8171844482422, 159.0)]","[(364.8171844482422, 159.0), (124.81718444824219, 297.5640646055102), (124.81718444824213, 20.43593539448983), (195.43488604577146, 368.05363699201916), (67.36405944824219, 128.765625), (64.56718444824219, 404.6546853944899), (252.4578094482422, 63.609375)]"
"[(364.8171844482422, 159.0), (124.81718444824213, 20.43593539448983), (64.56718444824219, 404.6546853944899), (252.4578094482422, 63.609375)]","[(364.8171844482422, 159.0)]","[(364.8171844482422, 159.0), (124.81718444824219, 297.5640646055102), (124.81718444824213, 20.43593539448983), (195.43488604577146, 368.05363699201916), (67.36405944824219, 128.765625), (64.56718444824219, 404.6546853944899), (252.4578094482422, 63.609375)]"
"[(124.81718444824213, 20.43593539448983), (64.56718444824219, 404.6546853944899), (252.4578094482422, 63.609375), (434.6177015975293, 229.61770159752928)]",[],"[(364.8171844482422, 159.0), (124.81718444824219, 297.5640646055102), (124.81718444824213, 20.43593539448983), (195.43488604577146, 368.05363699201916), (67.36405944824219, 128.765625), (64.56718444824219, 404.6546853944899), (252.4578094482422, 63.609375), (434.6177015975293, 229.61770159752928)]"
"[(124.81718444824213, 20.43593539448983), (64.56718444824219, 404.6546853944899), (252.4578094482422, 63.609375), (434.6177015975293, 229.61770159752928)]",[],"[(364.8171844482422, 159.0), (124.81718444824219, 297.5640646055102), (124.81718444824213, 20.43593539448983), (195.43488604577146, 368.05363699201916), (67.36405944824219, 128.765625), (64.56718444824219, 404.6546853944899), (252.4578094482422, 63.609375), (434.6177015975293, 229.61770159752928)]"
"[(64.56718444824219, 487.6546853944899), (434.6177015975293, 312.6177015975293), (246.0984344482422, 23.09375)]",[],"[(364.8171844482422, 242.0), (124.81718444824219, 380.5640646055102), (124.81718444824213, 103.43593539448983), (195.43488604577146, 451.05363699201916), (67.36405944824219, 211.765625), (64.56718444824219, 487.6546853944899), (252.4578094482422, 146.609375), (434.6177015975293, 312.6177015975293), (246.0984344482422, 23.09375)]"
"[(64.56718444824219, 487.6546853944899), (434.6177015975293, 312.6177015975293), (246.0984344482422, 23.09375)]",[],"[(364.8171844482422, 242.0), (124.81718444824219, 380.5640646055102), (124.81718444824213, 103.43593539448983), (195.43488604577146, 451.05363699201916), (67.36405944824219, 211.765625), (64.56718444824219, 487.6546853944899), (252.4578094482422, 146.609375), (434.6177015975293, 312.6177015975293), (246.0984344482422, 23.09375)]"
"[(494.6177015975293, 382.6177015975293), (30.3125, 238.4375)]",[],"[(424.8171844482422, 312.0), (184.8171844482422, 450.5640646055102), (184.81718444824213, 173.43593539448983), (255.43488604577146, 521.0536369920192), (127.36405944824219, 281.765625), (124.56718444824219, 557.6546853944899), (312.4578094482422, 216.609375), (494.6177015975293, 382.6177015975293), (306.0984344482422, 93.09375), (30.3125, 238.4375)]"
"[(494.6177015975293, 382.6177015975293), (30.3125, 238.4375)]",[],"[(424.8171844482422, 312.0), (184.8171844482422, 450.5640646055102), (184.81718444824213, 173.43593539448983), (255.43488604577146, 521.0536369920192), (127.36405944824219, 281.765625), (124.56718444824219, 557.6546853944899), (312.4578094482422, 216.609375), (494.6177015975293, 382.6177015975293), (306.0984344482422, 93.09375), (30.3125, 238.4375)]"
"[(158.119140625, 655.125)]",[],"[(485.728515625, 312.0), (245.728515625, 450.5640646055102), (245.72851562499994, 173.43593539448983), (316.3462172225293, 521.0536369920192), (188.275390625, 281.765625), (185.478515625, 557.6546853944899), (373.369140625, 216.609375), (555.5290327742871, 382.6177015975293), (367.009765625, 93.09375), (91.22383117675781, 238.4375), (158.119140625, 655.125)]"
"[(158.119140625, 655.125)]",[],"[(485.728515625, 312.0), (245.728515625, 450.5640646055102), (245.72851562499994, 173.43593539448983), (316.3462172225293, 521.0536369920192), (188.275390625, 281.765625), (185.478515625, 557.6546853944899), (373.369140625, 216.609375), (555.5290327742871, 382.6177015975293), (367.009765625, 93.09375), (91.22383117675781, 238.4375), (158.119140625, 655.125)]"
"[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0), (158.82812500000006, 169.06249999999994)]","[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0)]","[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0), (158.82812500000006, 169.06249999999994)]"
"[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0), (158.82812500000006, 169.06249999999994)]","[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0)]","[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0), (158.82812500000006, 169.06249999999994)]"
"[(345.9410738588101, 158.56406460551017), (105.94107385881006, 20.0), (204.1441988588101, 169.06249999999994), (34.698372261280724, 367.61770159752933)]","[(345.9410738588101, 158.56406460551017), (105.94107385881006, 20.0)]","[(345.9410738588101, 158.56406460551017), (105.94107385881011, 297.1281292110204), (105.94107385881006, 20.0), (204.1441988588101, 169.06249999999994), (34.698372261280724, 367.61770159752933)]"
"[(345.9410738588101, 158.56406460551017), (105.94107385881006, 20.0), (204.1441988588101, 169.06249999999994), (34.698372261280724, 367.61770159752933)]","[(345.9410738588101, 158.56406460551017), (105.94107385881006, 20.0)]","[(345.9410738588101, 158.56406460551017), (105.94107385881011, 297.1281292110204), (105.94107385881006, 20.0), (204.1441988588101, 169.06249999999994), (34.698372261280724, 367.61770159752933)]"
"[(345.9410738588101, 161.0), (105.94107385881006, 22.43593539448983), (204.1441988588101, 171.49843539448977), (34.698372261280724, 370.05363699201916), (308.5504488588101, 72.125)]","[(345.9410738588101, 161.0)]","[(345.9410738588101, 161.0), (105.94107385881011, 299.5640646055102), (105.94107385881006, 22.43593539448983), (204.1441988588101, 171.49843539448977), (34.698372261280724, 370.05363699201916), (308.5504488588101, 72.125)]"
"[(345.9410738588101, 161.0), (105.94107385881006, 22.43593539448983), (204.1441988588101, 171.49843539448977), (34.698372261280724, 370.05363699201916), (308.5504488588101, 72.125)]","[(345.9410738588101, 161.0)]","[(345.9410738588101, 161.0), (105.94107385881011, 299.5640646055102), (105.94107385881006, 22.43593539448983), (204.1441988588101, 171.49843539448977), (34.698372261280724, 370.05363699201916), (308.5504488588101, 72.125)]"
"[(345.9410738588101, 161.0), (34.698372261280724, 370.05363699201916), (308.5504488588101, 72.125), (171.5625, 66.09375)]","[(345.9410738588101, 161.0)]","[(345.9410738588101, 161.0), (105.94107385881011, 299.5640646055102), (105.94107385881006, 22.43593539448983), (204.1441988588101, 171.49843539448977), (34.698372261280724, 370.05363699201916), (308.5504488588101, 72.125), (171.5625, 66.09375)]"
"[(345.9410738588101, 161.0), (34.698372261280724, 370.05363699201916), (308.5504488588101, 72.125), (171.5625, 66.09375)]","[(345.9410738588101, 161.0)]","[(345.9410738588101, 161.0), (105.94107385881011, 299.5640646055102), (105.94107385881006, 22.43593539448983), (204.1441988588101, 171.49843539448977), (34.698372261280724, 370.05363699201916), (308.5504488588101, 72.125), (171.5625, 66.09375)]"
"[(345.9410738588101, 161.0), (34.698372261280724, 370.05363699201916), (242.0660738588101, 69.0)]","[(345.9410738588101, 161.0)]","[(345.9410738588101, 161.0), (105.94107385881011, 299.5640646055102), (105.94107385881006, 22.43593539448983), (204.1441988588101, 171.49843539448977), (34.698372261280724, 370.05363699201916), (308.5504488588101, 72.125), (171.5625, 66.09375), (242.0660738588101, 69.0)]"
"[(345.9410738588101, 161.0), (34.698372261280724, 370.05363699201916), (242.0660738588101, 69.0)]","[(345.9410738588101, 161.0)]","[(345.9410738588101, 161.0), (105.94107385881011, 299.5640646055102), (105.94107385881006, 22.43593539448983), (204.1441988588101, 171.49843539448977), (34.698372261280724, 370.05363699201916), (308.5504488588101, 72.125), (171.5625, 66.09375), (242.0660738588101, 69.0)]"
"[(356.65508659711486, 161.0), (252.78008659711486, 69.0), (247.97963773830475, 416.953125)]",[],"[(356.65508659711486, 161.0), (116.65508659711486, 299.5640646055102), (116.6550865971148, 22.43593539448983), (214.85821159711486, 171.49843539448977), (45.41238499958547, 370.05363699201916), (319.26446159711486, 72.125), (182.27651273830475, 66.09375), (252.78008659711486, 69.0), (247.97963773830475, 416.953125)]"
"[(356.65508659711486, 161.0), (252.78008659711486, 69.0), (247.97963773830475, 416.953125)]",[],"[(356.65508659711486, 161.0), (116.65508659711486, 299.5640646055102), (116.6550865971148, 22.43593539448983), (214.85821159711486, 171.49843539448977), (45.41238499958547, 370.05363699201916), (319.26446159711486, 72.125), (182.27651273830475, 66.09375), (252.78008659711486, 69.0), (247.97963773830475, 416.953125)]"
"[(247.97963773830475, 416.953125), (262.61602409711486, 138.8125)]",[],"[(356.65508659711486, 161.0), (116.65508659711486, 299.5640646055102), (116.6550865971148, 22.43593539448983), (214.85821159711486, 171.49843539448977), (45.41238499958547, 370.05363699201916), (319.26446159711486, 72.125), (182.27651273830475, 66.09375), (252.78008659711486, 69.0), (247.97963773830475, 416.953125), (262.61602409711486, 138.8125)]"
"[(247.97963773830475, 416.953125), (262.61602409711486, 138.8125)]",[],"[(356.65508659711486, 161.0), (116.65508659711486, 299.5640646055102), (116.6550865971148, 22.43593539448983), (214.85821159711486, 171.49843539448977), (45.41238499958547, 370.05363699201916), (319.26446159711486, 72.125), (182.27651273830475, 66.09375), (252.78008659711486, 69.0), (247.97963773830475, 416.953125), (262.61602409711486, 138.8125)]"
"[(258.984375, 308.4375)]",[],"[(356.65508659711486, 161.0), (116.65508659711486, 299.5640646055102), (116.6550865971148, 22.43593539448983), (214.85821159711486, 171.49843539448977), (45.41238499958547, 370.05363699201916), (319.26446159711486, 72.125), (182.27651273830475, 66.09375), (252.78008659711486, 69.0), (247.97963773830475, 416.953125), (262.61602409711486, 138.8125), (258.984375, 308.4375)]"
"[(258.984375, 308.4375)]",[],"[(356.65508659711486, 161.0), (116.65508659711486, 299.5640646055102), (116.6550865971148, 22.43593539448983), (214.85821159711486, 171.49843539448977), (45.41238499958547, 370.05363699201916), (319.26446159711486, 72.125), (182.27651273830475, 66.09375), (252.78008659711486, 69.0), (247.97963773830475, 416.953125), (262.61602409711486, 138.8125), (258.984375, 308.4375)]"
"[(258.984375, 308.4375)]",[],"[(356.65508659711486, 161.0), (116.65508659711486, 299.5640646055102), (116.6550865971148, 22.43593539448983), (214.85821159711486, 171.49843539448977), (45.41238499958547, 370.05363699201916), (319.26446159711486, 72.125), (182.27651273830475, 66.09375), (252.78008659711486, 69.0), (247.97963773830475, 416.953125), (262.61602409711486, 138.8125), (258.984375, 308.4375)]"
